Substance ID,Name ,CAS ,SMILES,Formula ,FW ,OVERALL ,TA100 ,TA100_S9 ,TA1535 ,TA1535_S9 ,TA97 ,TA97_S9 ,TA1538 ,TA1538_S9 ,TA98 ,TA98_S9 ,TA1537 ,TA1537_S9 ,TA102 ,TA102_S9 ,TA104 ,TA104_S9 ,TA98(NR) ,TA98(NR)_S9 ,TA97A ,TA97A_S9 ,"TA98(1,8-DNP6) ","TA98(1,8-DNP6)_S9 ","TA100(1,8-DNP6) ","TA100(1,8-DNP6)_S9 ",TA100(NR) ,TA100(NR)_S9 ,YG1024 ,YG1024_S9 ,TA2638 ,TA2638_S9 ,YG1029 ,YG1029_S9 ,TA92 ,TA92_S9 ,YG1026 ,YG1026_S9 ,YG1021 ,YG1021_S9 ,TA7004 ,TA7004_S9 ,TA7005 ,TA7005_S9 ,TA1978 ,TA1978_S9 ,TA7002 ,TA7002_S9 ,TA7003 ,TA7003_S9 ,TA7001 ,TA7001_S9 ,TA7006 ,TA7006_S9 ,TM677 ,TM677_S9 ,G46 ,G46_S9 ,YG1020 ,YG1020_S9 ,YG1025 ,YG1025_S9 ,TA94 ,TA94_S9
3218, FLUPHENAZINE ENANTHATE ,  2746-81-8  ,HC(H)C(H)C(H)C(H)C(H)C(H)C(=O)OC(H)C(H)N1C(H)C(H)N(C(H)C(H)C(H)N2c3c(ccc(C(F)(F)F)c3)Sc3c2cccc3)C(H)C1H,C29H38F3N3O2S ,549.6922,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3219, 5-CHLORO-2-NITROANILINE ,  1635-61-6  ,c1(N(=O)=O)c(N)cc(Cl)cc1,C6H5ClN2O2 ,172.5689,3,1,1,1,1,ND ,ND ,ND ,ND ,3,3,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3220, DEHYDROEVODIAMINE HYDROCHLORIDE ,  75853-60-0  ,HC(H)[N+]1c2c(C(=O)N3C=1C1=C(c4c(cccc4)N1)C(H)C3H)cccc2.[Cl-],C19H16ClN3O ,337.8027,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3221," PHENANTHRENE 9,10-IMINE ",  67464-46-4  ,c12-c3c(C4C(c1cccc2)N4)cccc3,C14H11N ,193.2439,3,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3222, N-ACETYL-L-CYSTEINE ,  616-91-1  ,HC(H)C(=O)NC(C(=O)O)C(H)S,C5H9NO3S ,163.1959,Inc ,ND ,ND ,ND ,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3223," 3,3-DICHLOROPROPENAL ",  2648-51-3  ,C(Cl)(Cl)=CC=O,C3H2Cl2O ,124.9528,3,3,3,3,3,ND ,ND ,ND ,ND ,3,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3224," 4,5-DICHLORO-2-(METHYLSULFONYL)-3(2H)-PYRIDAZINONE ",  91626-52-7  ,HC(H)S(=O)(=O)N1C(=O)C(Cl)=C(Cl)C=N1,C5H4Cl2N2O3S ,243.0683,3,3,3,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3225," 4,5-DICHLORO-2-(PROPYLSULFONYL)-3(2H)-PYRIDAZINONE ",  155164-55-9  ,HC(H)C(H)C(H)S(=O)(=O)N1C(=O)C(Cl)=C(Cl)C=N1,C7H8Cl2N2O3S ,271.1215,3,3,3,1,3,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3226, LEVOFLOXACIN ,  100986-85-4  ,HC(H)[C@@]1C(H)Oc2c3c(C(=O)C(C(=O)O)=CN13)cc(F)c2N1C(H)C(H)N(C(H)H)C(H)C1H.HC(H)[C@@]1C(H)Oc2c3c(C(=O)C(C(=O)O)=CN13)cc(F)c2N1C(H)C(H)N(C(H)H)C(H)C1H.O,C36H42F2N6O9 ,740.7505,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3227," 4,5-DICHLORO-2-ACETYL-3(2H)-PYRIDAZINONE ",  155164-63-9  ,HC(H)C(=O)N1C(=O)C(Cl)=C(Cl)C=N1,C6H4Cl2N2O2 ,207.0136,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3228," 2-HYDROXYAMINO-6-METHYLDIPYRIDO[1,2-A:3',2'-D]IMIDAZOLE ",  73341-53-4  ,HC(H)C1C2N(c3c(ccc(NO)n3)N=2)C=CC=1,C11H10N4O ,214.2235,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,1,ND ,ND ,ND
3229, N-ACETYL-L-ASPARTIC ACID ,  997-55-7  ,HC(H)C(=O)N[C@](C(=O)O)C(H)C(=O)O,C6H9NO5 ,175.1394,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3230," 4,5-DICHLORO-2-(4-NITROBENZOYL)-3(2H)-PYRIDAZINONE ",  155164-69-5  ,C1(=O)C(Cl)=C(Cl)C=NN1C(=O)c1ccc(N(=O)=O)cc1,C11H5Cl2N3O4 ,314.0806,3,3,3,3,3,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3231," S-(N,N-DIETHYLDITHIOCARBAMOYL)-N-ACETYL-L-CYSTEINE ",  128505-52-2  ,HC(H)C(=O)N[C@](C(=O)O)C(H)SC(=S)N(SC(H)C(H)H)SC(H)C(H)H,C10H18N2O3S4 ,342.5256,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3232, TEXANOL ,  25265-77-4  ,HC(H)C(C(H)H)(C(H)OC(=O)C(C(H)H)C(H)H)C(O)C(C(H)H)C(H)H,C12H24O3 ,216.3172,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3233, 1-BUTENE ,  106-98-9  ,HC(H)C(H)C=CH,C4H8 ,56.1063,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3234, VINYL METHYL ETHER ,  107-25-5  ,HC(H)OC=CH,C3H6O ,58.0791,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3235," 3-NITRO-9,10-DIHYDROBENZO[A]PYRENE ",  132742-01-9  ,HC1c2c3c4c5c(c(N(=O)=O)ccc5cc3)ccc4cc2C=CC1H,C20H13NO2 ,299.3228,3,3,3,ND ,ND ,ND ,ND ,ND ,ND ,3,3,ND ,ND ,ND ,ND ,ND ,ND ,3,3,ND ,ND ,3,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3236," 1-NITRO-7,8-DIHYDROBENZO[A]PYRENE ",  132742-03-1  ,HC1c2c(c3c4c5c(c(N(=O)=O)ccc5ccc4c2)cc3)C=CC1H,C20H13NO2 ,299.3228,3,1,3,ND ,ND ,ND ,ND ,ND ,ND ,3,3,ND ,ND ,ND ,ND ,ND ,ND ,3,3,ND ,ND ,3,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3237," 3,3'-[(1-METHYLETHYLIDENE)BIS(4,1-PHENYLENEOXY)]BISPROPANE-1,2-DIOL ",  5581-32-8  ,HC(H)C(c1ccc(OC(H)C(O)C(H)O)cc1)(c1ccc(OC(H)C(O)C(H)O)cc1)C(H)H,C21H28O6 ,376.4434,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3238, PULLULAN ,  9057-02-7  ,, , ,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3239, SODIUM SARCOSINATE ,  4316-73-8  ,HC(H)NC(H)C(=O)[O-].[Na+],C3H6NNaO2 ,111.075,1,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3240, CLOBAZAM ,  22316-47-8  ,HC(H)N1c2c(cc(Cl)cc2)N(c2ccccc2)C(=O)C(H)C1=O,C16H13ClN2O2 ,300.7394,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3241, 6-IODO-8-QUINOLINECARBOXYLIC ACID ,  70585-50-1  ,C(=O)(O)c1c2c(cc(I)c1)cccn2,C10H6INO2 ,299.0646,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3242, 2-ETHOXY-5-TERT-BUTYL-2'-ETHYLOXALIC ACID BISANILIDE ,  35001-52-6  ,HC(H)C(c1cc(NC(=O)C(=O)Nc2c(C(H)C(H)H)cccc2)c(OC(H)C(H)H)cc1)(C(H)H)C(H)H,C22H28N2O3 ,368.4694,1,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3243," 4,4'-ISOPROPYLIDENEDIPHENOL BIS(DIHYDROGEN PHOSPHITE) ",  25058-17-7  ,, , ,1,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3244," POLYOXYETHYLENE NONYL PHENYL ETHER SULFATE, SODIUM SALT ",  9014-90-8  ,HC(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)c1c(Oc2c(C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)H)cccc2)cccc1.O=S(=O)([O-])O.[Na+],C30H46NaO5S ,541.739,1,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3245, LITHIUM STEARATE ,  4485-12-5  ,HC(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(=O)[O-].[Li+],C18H35LiO2 ,290.4103,1,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3246, STEARYL ERUCAMIDE ,  10094-45-8  ,HC(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)NC(=O)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C=CC(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)H,C40H79NO ,590.0614,1,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3247," (3BETA,5ALPHA)-3-[[3-[3-[BIS(2-CHLOROETHYL)AMINO]PHENYL]-1-OXO-2-PROPENYL]OXY]-17A-AZA-D-HOMOANDROST ",  137866-26-3  ,HC(H)[C@]12C(H)C(H)[C@@]3[C@]4(C(H)H)C(H)C(H)[C@@](OC(=O)C=Cc5cc(N(C(H)C(H)Cl)C(H)C(H)Cl)ccc5)C(H)[C@@]4C(H)C(H)[C@]3[C@@]1C(H)C(H)C(=O)N2,C32H44Cl2N2O3 ,575.6088,1,1,1,1,1,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3248, (3BETA)-3-[[3-[3-[BIS(2-CHLOROETHYL)AMINO]PHENYL]-1-OXO-2-PROPENYL]OXY]-17A-AZA-D-HOMOANDROST-5-EN-1 ,  147151-67-5  ,HC(H)[C@]12C(C(H)[C@](OC(=O)C=Cc3cc(N(C(H)C(H)Cl)C(H)C(H)Cl)ccc3)C(H)C1H)=CC(H)[C@]1[C@]3[C@](C(H)H)(C(H)C(H)[C@@]21)NC(=O)C(H)C3H,C32H42Cl2N2O3 ,573.593,3,1,1,3,3,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3249, CAMPHENE ,  79-92-5  ,HC(H)C1(C(H)H)C(=CH)C2C(H)C(H)C1C2H,C10H16 ,136.234,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3250," ALPHA-CYANO-5-NITRO-2,1-BENZISOTHIAZOLE-3-ACETIC ACID, ETHYL ESTER ",  109380-46-3  ,, , ,3,3,3,3,3,ND ,ND ,ND ,ND ,3,3,3,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3251, TETRADECANE ,  1120-36-1  ,HC(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C(H)C=CH,C14H28 ,196.3721,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3252," 3-AMINO-5-METHYL-2,1-BENZISOTHIAZOLE ",  99523-86-1  ,HC(H)C1C=CC2C(=C(N)SN=2)C=1,C8H8N2S ,164.2286,3,1,3,1,1,ND ,ND ,ND ,ND ,1,3,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3253," 3-AMINO-6-CHLORO-2,1-BENZISOTHIAZOLE ",  700-86-7  ,C12C(=C(N)SN=1)C=CC(Cl)=C2,C7H5ClN2S ,184.6468,3,1,3,1,1,ND ,ND ,ND ,ND ,1,1,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3254," 3-AMINO-5,7-DICHLORO-2,1-BENZISOTHIAZOLE ",  60877-79-4  ,C1(Cl)C2C(=C(N)SN=2)C=C(Cl)C=1,C7H4Cl2N2S ,219.0915,3,1,3,1,1,ND ,ND ,ND ,ND ,1,1,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3255," 3-AMINO-5-NITRO-2,1-BENZISOTHIAZOLE ",  14346-19-1  ,C12C(=C(N)SN=1)C=C(N(=O)=O)C=C2,C7H5N3O2S ,195.1996,3,3,3,1,1,ND ,ND ,ND ,ND ,3,3,3,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
