Structure [idcode]	Molecule Name	Formula	FW	DSSTox_CID	SR-HSE	NR-AR	SR-ARE	NR-Aromatase	NR-ER-LBD	NR-AhR	SR-MMP	NR-ER	NR-PPAR-gamma	SR-p53	SR-ATAD5	NR-AR-LBD	Smiles	
gOp`@TfYKZjhb@@	NCGC00256784-01	C5H8O2	100.1158	27677	0	0	0	0	0	0	0	0	0	0	0	0	C[C@@H]1OCCC1=O	
diDBSDpf@hcpA\xnpJRVYnZjiJgP@	NCGC00094949-01	C3H5CaO4P	176.1212 (40.0769+136.0443)	25873		0		0	0	0	0	1	0	0	0	0	C[C@@H]1O[C@@H]1P([O-])([O-])=O.[Ca+2]	
eolXDH@BHG`Hc@hiEDddcDehTiLmjNMGCKLbnackjjjjjjjjjjjjLPVBhWBLUb\TTJSRFer@@	NCGC00095403-01	C27H46ClNO2	452.1126 (415.6517+36.4609)	25978		0		0	0	0		0	0	0	0	0	C[C@@H]1[C@@]2(NC[C@@H](C)CC2)O[C@@H](C2)[C@H]1[C@@](C)(CC1)[C@@H]2[C@H](CC2)[C@H]1[C@@](C)(CC1)[C@@H]2C[C@H]1O.Cl	
gaLVAT@@DHC@HTZGBSi|QXbRhtfKSeqy}~rQQQJIJYYZJYQQJIJEJIHjJJZYJJIKYXzFYKTIDPhLN[@PiujCUmsX\~@tVMUUUUUUUUUUUUUUUUUUUUUUUUUUWrADDHJaNBdKp`drHhfdFJXcb^HEJRYKeITuJtgRCJlfrGS\kt@ib`@	NCGC00095843-01	C50H83NO21	1034.1881	20413		0			1								C[C@@H]1[C@@]2(NC[C@@H](C)CC2)O[C@@H](C2)[C@H]1[C@@](C)(CC1)[C@@H]2[C@H](CC2)[C@H]1[C@@](C)(CC1)[C@@H]2C[C@H]1O[C@@H]([C@@H]([C@H]1O)O)O[C@H](CO)[C@@H]1O[C@@H]([C@@H]([C@H]1O[C@@H]([C@@H]([C@H]2O)O)OC[C@H]2O)O[C@@H]([C@@H]([C@H]2O)O)O[C@H](CO)[C@H]2O)O[C@H](CO)[C@H]1O	
deu@@@YJYYj[a@`jJBh@	NCGC00256704-01	C8H10N2	134.1784	27196	0		0	0	0	0	0	0	0	0	0	0	C[C@@H]1c2nccnc2CC1	
ffcqB@LDYh@PeMlrmvj}NQKfmMUT`@@DDJH@	NCGC00254993-01	C17H17N3OS	311.4014	14590	0	0	1	1		0	1			0	0		C[C@@](C(N1Nc2ccccc2)=O)(c2ccccc2)N=C1SC	
emTzJ@@DFLkiPKGOIlbbbbbRTLTlRVtLRTRtRRTXDdTlBZF^~qiyUEeZjjji`hHZjj``XjJKcBDHRAQZOSz@@	NCGC00017400-10	C33H37N5O5	583.6774	25614	0												C[C@@](C(N1[C@@H](Cc2ccccc2)C(N2[C@H]3CCC2)=O)=O)(NC([C@H](C2)CN(C)[C@H](Cc4c[nH]5)[C@H]2c2c4c5ccc2)=O)O[C@@]13O	
emTzJ@@DFLkiPKGOIlbbbbbRTLTlRVtLRTRtRRTXDdTlBZF^~qiyUEeZjjji`hHZjj``XjJKcBDHRAQZOSz@@	NCGC00017400-05	C33H37N5O5	583.6774	25614		0		0	0	0				0		0	C[C@@](C(N1[C@@H](Cc2ccccc2)C(N2[C@H]3CCC2)=O)=O)(NC([C@H](C2)CN(C)[C@H](Cc4c[nH]5)[C@H]2c2c4c5ccc2)=O)O[C@@]13O	
fgA@P@@HEkHheHeEBRdmFluUMUUHpjH@	NCGC00025212-08	C10H12O4	196.1999	21752	0												C[C@@](C1OC2CC1)([C@@]2(C)C(O1)=O)C1=O	
fgA@P@@HEkHheHeEBRdmFluUMUUHpjH@	NCGC00016247-01	C10H12O4	196.1999	21752		0			0		1		1	1	1		C[C@@](C1OC2CC1)([C@@]2(C)C(O1)=O)C1=O	
fde@`@@HRYVWk^bTdiwfjjjjjjHRT`dj@@	NCGC00256856-01	C16H26O2	250.3764	27686	0	0			0	0		0	0	0	0	0	C[C@@](CC1)([C@H](C2)[C@]3(C)[C@@H]1C(C)(C)CCC3)OC2=O	
glJdAt@@@B@PxZSE`KDruFkSiLVGKcuxCAPyEDiEEEeEHmLiUhbdmheEDdeDUEELeDmLTXb^BfSi\~OOgHUf[[gsUUUUUUUUUUMUUUUUUUUUUUUUKLDHJ`iBTRqOBBPhndnKyDRIJeNREKt`rcSLjr[J]Mr_H@@	NCGC00258119-01	C44H70O23	967.0128	27874	0	0	0	0	0	0	0	0	0	0	0	0	C[C@@](CCC1)([C@H](C[C@H]([C@H](C2)C(C3)=C)O[C@@H]([C@@H]([C@H]4O[C@@H]([C@@H]([C@H]5O)O)O[C@H](CO)[C@H]5O)OC([C@@H]([C@H]5O)O)O[C@H](CO)[C@H]5O)O[C@H](CO)[C@H]4O)[C@@]23CC2)[C@H]2[C@]1(C)C(O[C@@H]([C@@H]([C@H]1O)O)O[C@H](CO)[C@H]1O)=O	
f`aA@@@IMLznmKUUUTmTbDQ@@	NCGC00095252-05	C15H26O	222.3663	25964	0		0										C[C@@](CCC=C(C)C)([C@H]1CC=C(C)CC1)O	
ff}@`@@IrJQQZQYYRZQ|E[uUUUUUUMTaDRbEGP@	NCGC00256908-01	C20H36O2	308.4986	27111		0			0	0					0		C[C@@](CC[C@H]([C@]1(C)[C@@H](CC2)C(C)(C)CCC1)[C@]2(C)O)(C=C)O	
eohZN@@AEOBm`JKHjacldTTRRLtTtJTrbrbXxBRfVijjjjjjjjjjtPSDdfdLcdRfTZTrVP@	NCGC00263839-02	C19H37N5O7	447.5264	26887	0		0										C[C@@](CO[C@@H]([C@@H]1O)O[C@@H]([C@@H](C[C@@H]([C@H]2O[C@H]3OC(CN)=CC[C@H]3N)N)N)[C@@H]2O)([C@@H]1NC)O	
dk|L@@P\bbTbRaJiuSZjfjiKITYR`@	NCGC00258757-01	C10H10O3	178.1846	7844	0	0	0	0	0	0	0		0	0	0	0	C[C@@]([C@@H]1C=C[C@H]2C1)([C@H]2C(O1)=O)C1=O	
e`XXJH@LaAego`HcHhdliDiddmMDJidiPpDeUu@AUPPQUSSLDaphe@m@	NCGC00016710-05	C25H30ClNO5	459.9624 (343.8902+116.0722)	27765	0												C[C@@](c1ccccc1)(c(cc1)ccc1Cl)OCC[C@@H]1N(C)CCC1.OC(/C=C/C(O)=O)=O	
e`XXJH@LaAego`HcHhdliDiddmMDJidiPpDeUu@AUPPQUSSLDaphe@m@	NCGC00016710-01	C25H30ClNO5	459.9624 (343.8902+116.0722)	27765		0		0	0	0		0	0	0	0	0	C[C@@](c1ccccc1)(c(cc1)ccc1Cl)OCC[C@@H]1N(C)CCC1.OC(/C=C/C(O)=O)=O	
fewA`@@HGdTVbRfTRrTtRLDhshiJujjfjjjjfjVDRdYNPXe@@	NCGC00262911-01	C23H32O3	356.4984	31646	0		1										C[C@@]1(CC2)C(C(C)=O)=CC[C@H]1[C@H]1[C@H]2[C@@](C)(CC[C@@H](C2)OC(C)=O)C2=CC1	
ekhXD@@E`DLbbtRTrbVRfbQbRDTL\bRJZvNZjijjjjh@JdXHRbLSbBbR@@	NCGC00186462-01	C26H33NO2	391.5457	28969		0		0	1	0	0	1	0	0	0	0	C[C@@]1(CC2)C(c3cnccc3)=CC[C@H]1[C@H]1[C@H]2[C@@](C)(CC[C@@H](C2)OC(C)=O)C2=CC1	
fb}A@@@YEDeMDhTihjLUiwhyZjjjjjjeaHqBViZ^P@	NCGC00167559-01	C19H28O	272.4250	20965		0		0	1	0	1	1	0	0	0	0	C[C@@]1(CC2)C=CC[C@H]1[C@H](CC1)[C@H]2[C@@](C)(CC2)[C@@H]1CC2=O	
fncQS@INxHud`bBAF`cHhheHfiCEiDfJjvBAXejjjJDZ@@	NCGC00183860-01	C13H19ClN2O5S2	382.8834	28770	0	0	0	0	0	0	0	0	0	0	0	0	C[C@@]1(CN(C)S(c(cc2)cc(S(N)(=O)=O)c2Cl)(=O)=O)OCCC1	
e`ZRD@@DLOF`DlbbbRbRRqRdRfTRQQCFceg`trvswsUQPTUUTuP@DIAEP@@	NCGC00159544-03	C26H28N4O2	428.5261	26091	0												C[C@@]1(CN(CC2)CCC2N(c(cccc2)c2N2)C2=O)OCc(cccc2)c2-n2c1ccc2	
e`ZRD@@DLOF`DlbbbRbRRqRdRfTRQQCFceg`trvswsUQPTUUTuP@DIAEP@@	NCGC00159544-01	C26H28N4O2	428.5261	26091		0		1	0	0				0		0	C[C@@]1(CN(CC2)CCC2N(c(cccc2)c2N2)C2=O)OCc(cccc2)c2-n2c1ccc2	
e`RXF@@J`KNicglbbRfbTLVRbTrTvreCBag`RQWPsRuUUUUUKUMUPcBDfdLgdBbTJP@	NCGC00263521-01	C25H31NO6	441.5167	378	0												C[C@@]1(C[C@@H]2O)[C@]3(C(COC(C)=O)=O)N=C(C)O[C@@H]3C[C@H]1[C@H](CC1)[C@H]2[C@@](C)(C=C2)C1=CC2=O	
e`RXF@@J`KNicglbbRfbTLVRbTrTvreCBag`RQWPsRuUUUUUKUMUPcBDfdLgdBbTJP@	NCGC00167508-01	C25H31NO6	441.5167	378		1						1	0	0		0	C[C@@]1(C[C@@H]2O)[C@]3(C(COC(C)=O)=O)N=C(C)O[C@@H]3C[C@H]1[C@H](CC1)[C@H]2[C@@](C)(C=C2)C1=CC2=O	
e`RXF@@J`KNicglbbRfbTLVRbTrTvreCBag`RQWPsRuUUUUUKUMUPcBDfdLgdBbTJP@	NCGC00255189-01	C25H31NO6	441.5167	378	0	1			0		0		0	0		0	C[C@@]1(C[C@@H]2O)[C@]3(C(COC(C)=O)=O)N=C(C)O[C@@H]3C[C@H]1[C@H](CC1)[C@H]2[C@@](C)(C=C2)C1=CC2=O	
ebYPNH@AJfaegdPICHiEHhhhblXdiliiddXiyiXyDdTMM|CUUUSMUSUMUTuUPdBPVDHRd|bTJP@	NCGC00095071-01	C28H35FO7	502.5717	25905		1			0				0	0		0	C[C@@]1(C[C@@H]2O)[C@]3(C(COC(C)=O)=O)OC4(CCCC4)O[C@@H]3C[C@H]1[C@H](CCC([C@]1(C)C=C3)=CC3=O)[C@@]12F	
fmw`r@BXYsT\`bLbTrfTTRTLTerTmzJ\eiijjjjjiji`iJFghEEP@	NCGC00257293-01	C19H28ClNO6	401.8817	21141	1	0	1			0	0	0	1	1			C[C@@]1([C@@H]([C@@H]([C@@H](CC2)OC(NC(CCl)=O)=O)OC)[C@@]22OC2)O[C@@H]1CC=C(C)C	
ehQ\B@@DE@`Jg`\bbTtRbbRRTTRrrveHXdtTLBrRFjzzvVnZ`H`J`BhBbjJJLOEuMd@@	NCGC00168772-01	C26H21N3O4	439.4626	26778		0		1			1			1			C[C@@]1([C@@](CO)(C2)O)O[C@H]2n2c3c4n1c(cccc1)c1c4c(CNC1=O)c1c3c1c2cccc1	
fi{`P@A@PsfQSIPFJQQQ[IIF]xMQmztsUUP@@A@bTUHXP	NCGC00024876-03	C20H19NO4	337.3692 (221.2970+116.0722)	25785		0		0	0	0		0	0	0	0	0	C[C@@]1(c2c(C3)cccc2)N[C@H]3c2c1cccc2.OC(/C=C\C(O)=O)=O	
fi{`P@A@PsfQSIPFJQQQ[IIF]xMQmztsUUP@@A@bTUHXP	NCGC00094136-01	C20H19NO4	337.3692 (221.2970+116.0722)	25785		0		0	0	0		0	0	0	0	0	C[C@@]1(c2c(C3)cccc2)N[C@H]3c2c1cccc2.OC(/C=C\C(O)=O)=O	
fliH`@HTLDB\bTTvTbJbffjjjjZQaVbHWh	NCGC00319018-01	C13H28N4O2	272.3870	31403	0		0										C[C@H](/C(/C)=N/O)NCC(C)(C)CN[C@H](C)/C(/C)=N/O	
gGX`BDdwMUL`@	NCGC00024494-02	C3H7NO2	89.0932	25649			0										C[C@H](C(O)=O)N	
gGQ`@bdwMUL`@	NCGC00254746-01	C3H6O3	90.0779	27030	0	0	0	0	0	0	0	1	0	0	0	0	C[C@H](C(O)=O)O	
ehRTNH@AJiCDlbk`PICHhhdedhihihbmLeLfNFacgo`XBBjZ`ZB@BJ@hMH@@	NCGC00254378-01	C23H19FN2O7	454.4046	27282	0	0	0	0	0	0	0	0	0	0	0	0	C[C@H](C(O)=O)Oc1cc(F)c(CNC(c(cccn2)c2Oc(cc2)cc3c2OCO3)=O)cc1	
fhiA`@@H|dwMkZ{IUgMT@@APPp`@	NCGC00255562-01	C14H14O3	230.2592	20686	0	0	0	0	0	0	0	0	0	0	0	0	C[C@H](C(O)=O)c(ccc1c2)cc1ccc2OC	
fas`Q@BB}dhHcdadTRRVTRVRbaRhrsh@J`@jfkB@X@	NCGC00254630-01	C17H13ClFNO4	349.7408	12354	0	0	0	0	0	0	0	0	0	0	0	0	C[C@H](C(OCC#C)=O)Oc(cc1)ccc1Oc(c(F)c1)ncc1Cl	
fdiAbBHXBCPANNPVym[WUZ]yj`@@JBAD@	NCGC00016759-04	C14H13NaO3	252.2410 (22.9892+229.2518)	25576	0		0										C[C@H](C([O-])=O)c(ccc1c2)cc1ccc2OC.[Na+]	
fdiAbBHXBCPANNPVym[WUZ]yj`@@JBAD@	NCGC00017097-01	C14H13NaO3	252.2410 (22.9892+229.2518)	25576		0		0	0	0	0	0	0	0	0	0	C[C@H](C([O-])=O)c(ccc1c2)cc1ccc2OC.[Na+]	
enVPAHLHLMLjkjVPB`A\Nj{@eMELeMhd`UMELeMhd`ECHdcglRVj@H`@Zh@b@@@PHSR@@	NCGC00094887-05	C30H30CaO8	558.6324 (18.0153+18.0153+40.0769+241.2625+241.2625)	25587	0		0										C[C@H](C([O-])=O)c1cc(Oc2ccccc2)ccc1.C[C@H](C([O-])=O)c1cc(Oc2ccccc2)ccc1.O.O.[Ca+2]	
enVPAHLHLMLjkjVPB`A\Nj{@eMELeMhd`UMELeMhd`ECHdcglRVj@H`@Zh@b@@@PHSR@@	NCGC00017116-01	C30H30CaO8	558.6324 (18.0153+18.0153+40.0769+241.2625+241.2625)	25587		0		0	0	0	0	0	1	0	0	0	C[C@H](C([O-])=O)c1cc(Oc2ccccc2)ccc1.C[C@H](C([O-])=O)c1cc(Oc2ccccc2)ccc1.O.O.[Ca+2]	
dcvH`N`Hc@eEEDbnmAPAAH@	NCGC00247670-01	C9H12ClNO	185.6507 (149.1897+36.4609)	28793		0		0	0	0	0	0	0	0	0	0	C[C@H](C(c1ccccc1)=O)N.Cl	
fjmY@@DD]{IPILjoJzlmFFluSP@Tu|Ph`@	NCGC00263564-01	C14H12N6O	280.2847	26445	0		0										C[C@H](C1)C(c(cc2)ccc2NN=C(C#N)C#N)=NNC1=O	
fjmY@@DD]{IPILjoJzlmFFluSP@Tu|Ph`@	NCGC00253641-01	C14H12N6O	280.2847	26445	0		0										C[C@H](C1)C(c(cc2)ccc2NN=C(C#N)C#N)=NNC1=O	
fjmY@@DD]{IPILjoJzlmFFluSP@Tu|Ph`@	NCGC00164562-01	C14H12N6O	280.2847	26445		0			0					1	0		C[C@H](C1)C(c(cc2)ccc2NN=C(C#N)C#N)=NNC1=O	
fcqc@F^kX\pRAI@tadTTTtTRbRLRbTtyKvXuWnBHbijijfhjPFQP@	NCGC00160518-03	C19H20F3N3O3	395.3756	26201	0		1										C[C@H](C1)N[C@@H](C)CN1c(c(F)c(c1c2N(C3CC3)C=C(C(O)=O)C1=O)F)c2F	
fcqc@F^kX\pRAI@tadTTTtTRbRLRbTtyKvXuWnBHbijijfhjPFQP@	NCGC00160518-01	C19H20F3N3O3	395.3756	26201		1		0	0	0	0	0	0	0	0	1	C[C@H](C1)N[C@@H](C)CN1c(c(F)c(c1c2N(C3CC3)C=C(C(O)=O)C1=O)F)c2F	
fcIa@BLbvj}`dERAPdIBPdIBPbIbIBIBXL\tyHVyKADUEUSSULUH}@h@	NCGC00166294-03	C19H22F2N4O3	392.3998	3590	0		0										C[C@H](C1)N[C@@H](C)CN1c(c(F)c(c1c2N(C3CC3)C=C(C(O)=O)C1=O)N)c2F	
fcIa@BLbvj}`dERAPdIBPdIBPbIbIBIBXL\tyHVyKADUEUSSULUH}@h@	NCGC00159333-02	C19H22F2N4O3	392.3998	3590		1		0	0	0	0	0	0	0	0	0	C[C@H](C1)N[C@@H](C)CN1c(c(F)c(c1c2N(C3CC3)C=C(C(O)=O)C1=O)N)c2F	
fnk@`@@ErJIJYJIKSQJVcIJ]zNVjZjjjjnjXIRRiZ^TT@	NCGC00164632-02	C21H28O2	312.4458	3667	0												C[C@H](C1)[C@@H]([C@H](CC2)[C@](C)(CC3)[C@@]2(C#C)O)[C@H]3C(CC2)=C1CC2=O	
fnk@`@@ErJIJYJIKSQJVcIJ]zNVjZjjjjnjXIRRiZ^TT@	NCGC00164632-01	C21H28O2	312.4458	3667		1		0	1	0	0	1	0	0	0	1	C[C@H](C1)[C@@H]([C@H](CC2)[C@](C)(CC3)[C@@]2(C#C)O)[C@H]3C(CC2)=C1CC2=O	
ffs@`@@ERYVue^yZcIJ]zNVfjjjjjjkcDIRRiZ^TT@	NCGC00253603-01	C20H30O2	302.4510	16489	0												C[C@H](C1)[C@@H]([C@H](CC2)[C@](C)(CC3)[C@@]2(C)O)[C@H]3[C@@H](CC2)C1=CC2=O	
f`qA@@@YEDeDhlUJLtYijjjZlTSDZ@@	NCGC00256230-01	C15H22O	218.3346	27050	0	0	0	1	0	0	0	0	0	0	0	0	C[C@H](C1)[C@](C)(C[C@@H](CC2)C(C)=C)C2=CC1=O	
ecRpI@@@LIGDR^U]\dTbbTRRrTTnaTRrTfJbTVSF`bdbaeeWTrtvswplmUUUUUUSUUUUUUUUUTihcEXniLmebjTJiT@@	NCGC00258483-01	C35H52O9	616.7820	13334	0	0	0	0	0	0	1	0	0	0	0	0	C[C@H](CC(C1OC11C)(OC1O)OC1C2)C1[C@@](C)(CC[C@@]1(C3)[C@]33CC4)[C@]2(C)C1=CC[C@H]3C(C)(C)C4O[C@@H]([C@@H]([C@H]1O)O)OC[C@H]1O	
fak@r@BLMzOPQFQQQQIKJIJJEWdeZrvBHbjffjRdJSh@	NCGC00091120-13	C17H17ClO6	352.7663	674	0												C[C@H](CC(C=C1OC)=O)[C@]1(C1=O)Oc2c1c(OC)cc(OC)c2Cl	
fak@r@BLMzOPQFQQQQIKJIJJEWdeZrvBHbjffjRdJSh@	NCGC00091120-01	C17H17ClO6	352.7663	674		0			0	0	0	0	0	1	1	0	C[C@H](CC(C=C1OC)=O)[C@]1(C1=O)Oc2c1c(OC)cc(OC)c2Cl	
fak@r@BLMzOPQFQQQQIKJIJJEWdeZrvBHbjffjRdJSh@	NCGC00259784-01	C17H17ClO6	352.7663	674	0	0		1	0	0	0	0	1	1	1	0	C[C@H](CC(C=C1OC)=O)[C@]1(C1=O)Oc2c1c(OC)cc(OC)c2Cl	
fak@r@BLMzOPQFQQQQIKJIJJEWdeZrvBHbjffjRdJSh@	NCGC00256353-01	C17H17ClO6	352.7663	674	0	0		1	0		0	0	0	1	1	0	C[C@H](CC(C=C1OC)=O)[C@]1(C1=O)Oc2c1c(OC)cc(OC)c2Cl	
elZVJH@LEGEhTXDKCk`@cIIBhhheDeCDcDdhmUCHdfigejBhFhjjjfjXhbaYQjOP@	NCGC00166413-02	C23H36N6O5S	508.6341	26467	0		0										C[C@H](CC1)C[C@H](C(O)=O)N1C([C@H](CCCNC(N)=N)NS(c1c2NC[C@H](C)Cc2ccc1)(=O)=O)=O	
elZVJH@LEGEhTXDKCk`@cIIBhhheDeCDcDdhmUCHdfigejBhFhjjjfjXhbaYQjOP@	NCGC00164592-01	C23H36N6O5S	508.6341	26467		0		0	0	0		0	0	0	0	0	C[C@H](CC1)C[C@H](C(O)=O)N1C([C@H](CCCNC(N)=N)NS(c1c2NC[C@H](C)Cc2ccc1)(=O)=O)=O	
fdeA@@@ILwK\vpeRuxKSUUUUUDYASRM@@	NCGC00257473-01	C17H26O	246.3877	9353	0	0	0		0	0		0	0	0	0	0	C[C@H](CC1)[C@@](C2)(C3)[C@@H]1C(C)(C)[C@@H]2C(C)=C3C(C)=O	
fdeA@@@ILwK\vpeRuxKSUUUUUDYASRM@@	NCGC00259743-01	C17H26O	246.3877	9353	0	0		0	0	0	0	0	0	0	0	0	C[C@H](CC1)[C@@](C2)(C3)[C@@H]1C(C)(C)[C@@H]2C(C)=C3C(C)=O	
f`iA@@@YEHhmHlTnZEjsjjjjjjjPbHJZUh@	NCGC00260491-01	C15H26O	222.3663	21269		0		0	0	0	1	0	0	0	0	0	C[C@H](CC1)[C@@](C2)(CC3)[C@@H]1C(C)(C)[C@@H]2[C@]3(C)O	
foQ@@@LdbTrdrLYs`cVZjjjjkGHJZ`@	NCGC00256204-01	C15H24	204.3511	27032	0	0	0	0	0	0	0	0	0	0	0	0	C[C@H](CC1)[C@]2(C3)[C@@H]1C(C)(C)C3C(C)=CC2	
fisQq@H}PsfcYZBHaDXAeEHeheJhhecHvgIJuUUUUUUURIAJRUGKtCDhl@@	NCGC00017354-07	C14H26Cl2N2O7	405.2714 (332.3496+36.4609+36.4609)	25429	0		0										C[C@H](CC1=O)O[C@H]2O[C@H]([C@H]([C@@H]([C@@H]([C@@H]3NC)O)NC)O)[C@@H]3O[C@@]12O.Cl.Cl	
fisQq@H}PsfcYZBHaDXAeEHeheJhhecHvgIJuUUUUUUURIAJRUGKtCDhl@@	NCGC00016754-01	C14H26Cl2N2O7	405.2714 (332.3496+36.4609+36.4609)	25429		0		0	0	0	0	0	0	0	0	0	C[C@H](CC1=O)O[C@H]2O[C@H]([C@H]([C@@H]([C@@H]([C@@H]3NC)O)NC)O)[C@@H]3O[C@@]12O.Cl.Cl	
ehRXF@@B@DFDa`\bfRfRbfdRbjRbdJv|bJjfV^~ZijjjjjjjjjjtdRbLcd|aTjcRzRr~`@	NCGC00256646-01	C26H43NO6	465.6227	27436	0	0	0		0	0	0	1	0	0	0	0	C[C@H](CCC(NCC(O)=O)=O)[C@@H](CC[C@H]1[C@@H]([C@H](C2)[C@@](C)(CC[C@H](C3)O)[C@@H]3C3)[C@@H]3O)[C@@]1(C)[C@H]2O	
fmoA`@@HWdTrTTtbRLrTfVrk^CdhymUUUUUUUUURhfHRUGPJRbj\@@	NCGC00256451-01	C24H40O3	376.5726	779		0	1	0				0			0	0	C[C@H](CCC(O)=O)[C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(CC2)[C@H]1C[C@@H]2O	
fmoA`@@HWdTrTTtbRLrTfVrk^CdhymUUUUUUUUURhfHRUGPJRbj\@@	NCGC00259417-01	C24H40O3	376.5726	779		0	1	0	0	0	1	0			0	0	C[C@H](CCC(O)=O)[C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(CC2)[C@H]1C[C@@H]2O	
fc@P@@HSoHidhiiDdYhlheljwhekM[UUUUUUUUUTjbXaIT\`jJJjq\@@	NCGC00258045-01	C24H40O4	392.5720	260	0	0		0	0	0		0			0	0	C[C@H](CCC(O)=O)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@H](C3)O)[C@@H]3C3)[C@@H]1[C@@H]2[C@@H]3O	
fc@P@@HSoHidhiiDdYhlheljwhekM[UUUUUUUUUTjbXaIT\`jJJjq\@@	NCGC00016387-02	C24H40O4	392.5720	260		1		0	0	0		0	0	0	0	0	C[C@H](CCC(O)=O)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@H](C3)O)[C@@H]3C3)[C@@H]1[C@@H]2[C@@H]3O	
ek`PJ@@@LemclbbdRbfVfdTVUVbxDdtBJzfZjjjjjZjfZhQBDJb\PRJPqAH@	NCGC00024025-05	C24H34O5	402.5238	2888	0		0										C[C@H](CCC(O)=O)[C@@H](CC[C@H]1[C@@H]([C@H](C2)[C@@](C)(CCC(C3)=O)[C@@H]3C3)C3=O)[C@@]1(C)C2=O	
ek`PJ@@@LemclbbdRbfVfdTVUVbxDdtBJzfZjjjjjZjfZhQBDJb\PRJPqAH@	NCGC00095777-01	C24H34O5	402.5238	2888		0			0	0		0	0	0	0	0	C[C@H](CCC(O)=O)[C@@H](CC[C@H]1[C@@H]([C@H](C2)[C@@](C)(CCC(C3)=O)[C@@H]3C3)C3=O)[C@@]1(C)C2=O	
elVTJ@@KdPDGBclbfRbfdRbjRbdJvFbRtlBbjZVvaQZjjjjjjjjjjjkRaLHRJSRARJIKIMKZ@@	NCGC00013426-01	C28H50N2O5	494.7070 (408.5714+86.1356)	25094		0		0	0	0	0	0	0	0	0	0	C[C@H](CCC(O)=O)[C@@H](CC[C@H]1[C@@H]([C@H](C2)[C@@](C)(CC[C@H](C3)O)[C@@H]3C3)[C@@H]3O)[C@@]1(C)[C@H]2O.C1NCCNC1	
eg`PJHDHLOJk`M@B\NpISIQSRIQUIQRE[FNQIM][GMUUUUUUUUUUhpnEIMHYHheLdTnd]@@	NCGC00260084-01	C24H39NaO5	430.5532 (407.5640+22.9892)	13979	0	0	0	0	0		0	0	0	0	0	0	C[C@H](CCC([O-])=O)[C@@H](CC[C@H]1[C@@H]([C@H](C2)[C@@](C)(CC[C@H](C3)O)[C@@H]3C3)[C@@H]3O)[C@@]1(C)[C@H]2O.[Na+]	
fk@RBHX|\F`B\]`RfRbfdRbjRTfVqgQSUj}mUUUUUUUUURfKbeMPtcDpjZmp@	NCGC00258450-01	C24H39NaO4	414.5538 (391.5646+22.9892)	13389	0	0			0	0					0	0	C[C@H](CCC([O-])=O)[C@@H](CC[C@H]1[C@H](CC2)[C@H](C3)[C@@](C)(CC4)[C@H]2C[C@@H]4O)[C@@]1(C)[C@H]3O.[Na+]	
fk@RBHX|\F`B\]`RfRbfdRbjRTfVqgQSUj}mUUUUUUUUURfKbeMPtcDpjZmp@	NCGC00091038-01	C24H39NaO4	414.5538 (391.5646+22.9892)	13389		0			0	0		0	0	0	0	0	C[C@H](CCC([O-])=O)[C@@H](CC[C@H]1[C@H](CC2)[C@H](C3)[C@@](C)(CC4)[C@H]2C[C@@H]4O)[C@@]1(C)[C@H]3O.[Na+]	
dmtH@@RYeeZVfjjah@	NCGC00257760-01	C10H16O	152.2334	5975	0		0		0	0	0		0	0	0		C[C@H](CCC1=C(C)C)CC1=O	
ecXpB@@@DFmlbbRbTbTTjTRfaRQdtVLVRagbWVQUPustNKTuUPTETUUUUUTuEUHPiIxlhMCh|hTSHBH	NCGC00167478-01	C40H58O4	602.8861	1084		0		0	1	0		0	1	1	1	1	C[C@H](CCC=C(C)C)[C@@H](CC1)[C@@](C)(CC2)[C@]1(C)[C@H](CC1)[C@]2(C2)[C@@]2(CC2)[C@@H]1C(C)(C)[C@H]2OC(/C=C/c(cc1)cc(OC)c1O)=O	
ecXpB@@@DFmlbbRbTbTTjTRfaRQdtVLVRagbWVQUPustNKTuUPTETUUUUUTuEUHPiIxlhMCh|hTSHBH	NCGC00181756-01	C40H58O4	602.8861	1084	0	0	0	0	0	0	0	0	0	0	1	1	C[C@H](CCC=C(C)C)[C@@H](CC1)[C@@](C)(CC2)[C@]1(C)[C@H](CC1)[C@]2(C2)[C@@]2(CC2)[C@@H]1C(C)(C)[C@H]2OC(/C=C/c(cc1)cc(OC)c1O)=O	
fk@`@@GrJQEJJZQIF[JJKHwhyWnjjjjjfffjjiqBRdZKRHqT	NCGC00161326-04	C27H44O2	400.6371	2721		0		0	0	0	1				0	0	C[C@H](CCCC(C)(C)O)[C@@H](CC1)[C@@](C)(CCC2)[C@@H]1/C2=C/C=C(/C[C@H](CC1)O)\C1=C	
eg`PL@@@MklbdQRbfdRQfrbbtQgdVRquUUUUUMMMUUL\HQJHrSQYHQQR@	NCGC00161327-04	C27H44O3	416.6365	2722		0		0	0		1					0	C[C@H](CCCC(C)(C)O)[C@@H](CC1)[C@@](C)(CCC2)[C@@H]1/C2=C/C=C(/C[C@H](C[C@@H]1O)O)\C1=C	
